"CustomerID","Recency","Frequency","Monetary"
12346,325.582638888889,1,77183.6
12347,2.33888888888889,182,4310
12348,75.4493055555556,31,1797.24
12349,18.5895833333333,73,1757.55
12350,310.332638888889,17,334.4
12352,36.3909722222222,85,2506.04
12353,204.259027777778,4,89
12354,232.450694444444,58,1079.4
12355,214.424305555556,13,459.4
12356,22.6388888888889,59,2811.43
12357,33.3284722222222,131,6207.67
12358,1.56527777777778,19,1168.06
12359,57.4673611111111,248,6372.58
12360,52.3597222222222,129,2662.06
12361,287.422916666667,10,189.9
12362,3.34722222222222,266,5226.23
12363,109.570833333333,23,552
12364,7.56805555555556,85,1313.1
12365,291.413888888889,22,641.38
12367,4.3,11,168.9
12370,51.38125,167,3545.69
12371,44.5722222222222,63,1887.96
12372,71.4916666666667,52,1298.04
12373,311.451388888889,14,364.6
12374,25.3493055555556,33,742.93
12375,10.5583333333333,17,457.5
12377,315.34375,77,1628.12
12378,129.559722222222,219,4008.62
12379,81.5770833333333,40,852.24
12380,21.5229166666667,104,2724.81
12381,4.46944444444444,87,1845.31
12383,184.665277777778,99,1850.56
12384,28.6395833333333,27,585.27
12386,337.474305555556,10,401.9
12388,15.4791666666667,100,2780.66
12390,79.6020833333333,32,549.84
12391,21.4951388888889,100,460.89
12393,72.3465277777778,64,1582.6
12394,63.6611111111111,27,1272.48
12395,19.3604166666667,156,3018.63
12397,35.5888888888889,126,2409.9
12398,45.5645833333333,85,1635.66
12399,119.447916666667,59,1108.65
12401,303.423611111111,5,84.3
12402,323.424305555556,11,225.6
12403,49.5479166666667,5,427.7
12405,148.630555555556,54,1710.39
12406,22.1930555555556,105,3415.3
12407,49.5756944444444,77,1708.12
12408,32.48125,105,2888.55
12409,78.5569444444444,109,11072.67
12410,308.55625,26,693.33
12412,74.5722222222222,61,1226.88
12413,66.625,38,758.1
12414,217.38125,18,562.41
12415,24.4013888888889,714,124914.53
12417,3.38055555555556,192,3649.1
12418,112.536111111111,34,668.58
12420,63.6284722222222,29,600.39
12421,15.6201388888889,45,807.04
12422,95.5916666666667,39,803.56
12423,0.576388888888889,125,1859.31
12424,162.495833333333,30,1760.96
12425,78.2701388888889,36,777.2
12426,194.481944444444,30,582.73
12427,21.6277777777778,31,825.8
12428,25.6513888888889,294,7956.46
12429,9.27638888888889,97,3750.4
12430,43.36875,11,256.4
12431,35.5034722222222,235,6487.45
12432,42.5118055555556,108,5059.32
12433,0.581944444444444,420,13375.87
12434,84.4736111111111,50,806.14
12435,79.6208333333333,36,7829.89
12436,99.49375,16,509.01
12437,1.51736111111111,199,4951.41
12438,14.4388888888889,98,2906.85
12441,366.552083333333,11,173.55
12442,3.40138888888889,12,172.06
12444,21.4423611111111,176,5005.46
12445,22.2201388888889,4,133.4
12446,57.4652777777778,57,1002.31
12447,243.440972222222,26,476.49
12448,44.4263888888889,22,449.45
12449,22.4263888888889,191,4067.29
12450,156.388194444444,8,197.88
12451,10.6388888888889,354,9035.52
12452,16.5638888888889,22,430.57
12453,134.411111111111,43,707.09
12454,56.2826388888889,15,3528.34
12455,73.3534722222222,90,2466.86
12456,44.3881944444444,125,3181.04
12457,66.4493055555556,62,2363.23
12458,71.3576388888889,38,947.4
12461,94.29375,35,826.88
12462,18.6173611111111,62,1189.59
12463,53.4277777777778,83,1344.78
12464,10.4354166666667,29,1212.05
12465,17.3097222222222,47,742.19
12468,187.516666666667,38,729.54
12471,2.34513888888889,460,19824.05
12472,32.4159722222222,339,6572.11
12473,29.4263888888889,168,3938.55
12474,17.3895833333333,424,7375.79
12475,53.5763888888889,36,723.38
12476,15.4722222222222,233,6816.42
12477,22.5895833333333,300,13219.74
12478,3.58611111111111,36,680.99
12479,11.4402777777778,31,527.2
12480,28.3805555555556,154,3281.63
12481,22.6465277777778,217,5596.32
12483,17.2902777777778,75,2484.98
12484,32.5159722222222,346,4541.72
12488,9.63194444444444,55,1298.66
12489,336.449305555556,15,334.93
12490,5.32847222222222,245,5417.93
12491,38.4875,26,460.4
12492,63.3645833333333,20,263.21
12493,165.571527777778,22,433.74
12494,15.6013888888889,77,1246.1
12497,81.4798611111111,14,1043.1
12498,21.4631944444444,23,403.7
12500,23.3194444444444,61,4257.82
12501,336.480555555556,149,2169.39
12502,95.5055555555556,147,3723.87
12504,18.3319444444444,9,482.05
12506,232.629166666667,23,73.5
12507,134.285416666667,21,1304.81
12508,26.3493055555556,69,398.27
